date,case_count,hospitalized_count,death_count
2020-02-29,1,1,0
2020-03-01,0,1,0
2020-03-02,0,2,0
2020-03-03,1,7,0
2020-03-04,5,2,0
2020-03-05,3,14,0
2020-03-06,8,8,0
2020-03-07,7,8,0
2020-03-08,21,18,0
2020-03-09,57,37,0
2020-03-10,69,60,0
2020-03-11,155,79,1
2020-03-12,355,105,0
2020-03-13,619,151,0
2020-03-14,642,176,2
2020-03-15,1034,209,4
2020-03-16,2121,340,8
2020-03-17,2452,384,8
2020-03-18,2971,492,20
2020-03-19,3706,632,24
2020-03-20,4007,734,47
2020-03-21,2639,733,44
2020-03-22,2580,772,49
2020-03-23,3570,1133,82
2020-03-24,4497,1297,95
2020-03-25,4874,1420,124
2020-03-26,5044,1531,187
2020-03-27,5119,1568,217
2020-03-28,3479,1378,272
2020-03-29,3560,1503,290
2020-03-30,6129,1849,323
2020-03-31,5458,1781,386
2020-04-01,5449,1735,447
2020-04-02,5746,1659,499
2020-04-03,5670,1698,499
2020-04-04,3866,1440,511
2020-04-05,3781,1392,578
2020-04-06,6353,1739,576
2020-04-07,6044,1579,598
2020-04-08,5575,1535,568
2020-04-09,5070,1337,558
2020-04-10,4510,1284,537
2020-04-11,3732,1036,544
2020-04-12,2887,944,573
2020-04-13,3311,1146,567
2020-04-14,4144,975,507
2020-04-15,3876,858,456
2020-04-16,3530,779,413
2020-04-17,3586,780,384
2020-04-18,2172,578,390
2020-04-19,2343,532,399
2020-04-20,3792,624,362
2020-04-21,3062,582,323
2020-04-22,3446,512,311
2020-04-23,2841,440,330
2020-04-24,2535,461,314
2020-04-25,1595,319,265
2020-04-26,1003,310,245
2020-04-27,2290,366,270
2020-04-28,2726,348,229
2020-04-29,2340,307,237
2020-04-30,2022,250,223
2020-05-01,1887,258,210
2020-05-02,1058,201,189
2020-05-03,787,215,177
2020-05-04,1550,238,157
2020-05-05,1512,212,151
2020-05-06,1397,210,151
2020-05-07,1238,175,141
2020-05-08,1079,166,131
2020-05-09,657,120,99
2020-05-10,457,104,102
2020-05-11,1231,180,103
2020-05-12,1285,110,90
2020-05-13,1333,128,83
2020-05-14,1110,142,70
2020-05-15,873,126,86
2020-05-16,485,90,84
2020-05-17,360,81,77
2020-05-18,895,110,59
2020-05-19,1003,113,55
2020-05-20,1077,79,79
2020-05-21,1069,84,44
2020-05-22,1036,100,66
2020-05-23,455,74,60
2020-05-24,467,86,48
2020-05-25,464,79,47
2020-05-26,1050,75,36
2020-05-27,741,76,48
2020-05-28,646,79,38
2020-05-29,639,85,43
2020-05-30,346,54,53
2020-05-31,230,60,39
2020-06-01,686,81,34
2020-06-02,570,62,37
2020-06-03,515,73,43
2020-06-04,517,74,33
2020-06-05,402,54,27
2020-06-06,247,37,34
2020-06-07,197,54,25
2020-06-08,447,61,39
2020-06-09,419,65,30
2020-06-10,363,63,32
2020-06-11,363,50,21
2020-06-12,409,52,22
2020-06-13,196,35,15
2020-06-14,180,46,23
2020-06-15,380,52,20
2020-06-16,419,61,16
2020-06-17,356,50,20
2020-06-18,378,57,15
2020-06-19,361,45,15
2020-06-20,203,26,17
2020-06-21,172,43,22
2020-06-22,402,48,18
2020-06-23,381,44,17
2020-06-24,381,53,18
2020-06-25,298,42,15
2020-06-26,317,33,17
2020-06-27,206,42,12
2020-06-28,201,32,11
2020-06-29,437,47,16
2020-06-30,441,44,11
2020-07-01,395,38,9
2020-07-02,416,46,16
2020-07-03,234,30,11
2020-07-04,120,30,5
2020-07-05,155,28,8
2020-07-06,431,54,7
2020-07-07,461,47,6
2020-07-08,437,34,13
2020-07-09,391,46,5
2020-07-10,306,44,5
2020-07-11,259,34,8
2020-07-12,223,26,4
2020-07-13,483,49,13
2020-07-14,402,43,10
2020-07-15,440,43,12
2020-07-16,411,34,6
2020-07-17,413,49,9
2020-07-18,216,26,9
2020-07-19,176,38,7
2020-07-20,401,38,8
2020-07-21,340,24,6
2020-07-22,329,40,6
2020-07-23,308,32,7
2020-07-24,298,40,5
2020-07-25,153,36,10
2020-07-26,140,25,7
2020-07-27,312,38,3
2020-07-28,313,37,12
2020-07-29,287,30,4
2020-07-30,274,36,4
2020-07-31,262,33,3
2020-08-01,189,27,6
2020-08-02,135,33,2
2020-08-03,348,38,2
2020-08-04,187,32,4
2020-08-05,298,38,5
2020-08-06,288,34,5
2020-08-07,255,23,2
2020-08-08,160,20,4
2020-08-09,133,27,3
2020-08-10,312,41,5
2020-08-11,263,25,4
2020-08-12,320,30,1
2020-08-13,276,38,3
2020-08-14,277,38,2
2020-08-15,151,23,4
2020-08-16,140,21,5
2020-08-17,333,33,5
2020-08-18,283,39,1
2020-08-19,257,35,1
2020-08-20,227,36,7
2020-08-21,252,31,3
2020-08-22,136,27,6
2020-08-23,150,22,3
2020-08-24,297,36,8
2020-08-25,283,40,3
2020-08-26,313,27,6
2020-08-27,274,31,1
2020-08-28,280,22,4
2020-08-29,128,22,2
2020-08-30,186,20,4
2020-08-31,315,42,1
2020-09-01,294,20,3
2020-09-02,271,28,4
2020-09-03,273,18,3
2020-09-04,230,31,5
2020-09-05,156,22,3
2020-09-06,207,31,7
2020-09-07,217,20,0
2020-09-08,393,26,2
2020-09-09,353,31,2
2020-09-10,323,25,3
2020-09-11,313,31,4
2020-09-12,202,11,4
2020-09-13,263,17,3
2020-09-14,461,32,5
2020-09-15,415,30,3
2020-09-16,456,46,6
2020-09-17,441,33,4
2020-09-18,292,36,3
2020-09-19,216,21,5
2020-09-20,220,24,5
2020-09-21,558,29,3
2020-09-22,497,34,3
2020-09-23,612,38,4
2020-09-24,542,41,3
2020-09-25,463,46,5
2020-09-26,280,27,5
2020-09-27,382,35,2
2020-09-28,437,38,3
2020-09-29,723,50,6
2020-09-30,605,51,8
2020-10-01,705,41,5
2020-10-02,605,49,3
2020-10-03,299,25,5
2020-10-04,335,44,7
2020-10-05,766,56,0
2020-10-06,571,47,3
2020-10-07,541,45,4
2020-10-08,525,47,5
2020-10-09,524,54,2
2020-10-10,314,38,4
2020-10-11,281,49,7
2020-10-12,515,51,8
2020-10-13,588,49,5
2020-10-14,583,58,6
2020-10-15,604,74,8
2020-10-16,503,49,7
2020-10-17,366,35,5
2020-10-18,412,40,4
2020-10-19,626,68,7
2020-10-20,601,72,5
2020-10-21,654,53,5
2020-10-22,759,53,3
2020-10-23,601,60,5
2020-10-24,386,47,1
2020-10-25,362,44,9
2020-10-26,695,55,4
2020-10-27,742,46,9
2020-10-28,783,44,4
2020-10-29,621,59,4
2020-10-30,654,60,10
2020-10-31,403,47,4
2020-11-01,501,54,12
2020-11-02,953,64,10
2020-11-03,903,75,12
2020-11-04,1113,68,9
2020-11-05,1139,85,9
2020-11-06,1037,63,10
2020-11-07,845,60,13
2020-11-08,788,64,8
2020-11-09,1545,78,5
2020-11-10,1599,87,7
2020-11-11,1540,99,9
2020-11-12,1501,78,16
2020-11-13,1494,92,6
2020-11-14,1025,100,9
2020-11-15,896,90,14
2020-11-16,1832,124,8
2020-11-17,1730,102,10
2020-11-18,1753,119,10
2020-11-19,1857,131,9
2020-11-20,1773,134,7
2020-11-21,1290,118,11
2020-11-22,1148,114,10
2020-11-23,2317,148,13
2020-11-24,2074,130,16
2020-11-25,2370,138,13
2020-11-26,817,154,7
2020-11-27,2298,158,15
2020-11-28,1839,126,13
2020-11-29,1891,166,15
2020-11-30,2895,187,18
2020-12-01,3308,200,20
2020-12-02,3129,172,27
2020-12-03,2945,215,18
2020-12-04,2816,182,26
2020-12-05,1887,177,23
2020-12-06,1755,174,21
2020-12-07,3304,221,19
2020-12-08,3059,222,22
2020-12-09,3106,273,27
2020-12-10,3149,245,25
2020-12-11,2980,245,30
2020-12-12,2206,209,33
2020-12-13,2176,225,26
2020-12-14,3580,264,30
2020-12-15,3681,236,32
2020-12-16,2787,215,40
2020-12-17,1926,228,35
2020-12-18,3427,271,39
2020-12-19,2557,240,30
2020-12-20,2346,243,30
2020-12-21,4338,330,41
2020-12-22,4102,285,53
2020-12-23,3844,301,39
2020-12-24,3015,276,39
2020-12-25,1046,266,39
2020-12-26,3454,264,37
2020-12-27,2889,243,45
2020-12-28,5391,349,43
2020-12-29,5206,323,49
2020-12-30,4985,315,40
2020-12-31,3393,283,41
2021-01-01,1341,299,35
2021-01-02,4201,326,57
2021-01-03,3465,299,39
2021-01-04,6603,408,61
2021-01-05,6157,350,66
2021-01-06,5685,379,59
2021-01-07,5445,360,52
2021-01-08,5301,354,60
2021-01-09,3691,328,70
2021-01-10,3199,308,52
2021-01-11,5915,402,58
2021-01-12,5240,392,73
2021-01-13,5177,428,67
2021-01-14,5259,430,65
2021-01-15,4848,388,62
2021-01-16,3481,369,66
2021-01-17,2919,334,55
2021-01-18,4644,443,73
2021-01-19,5140,387,82
2021-01-20,4909,373,74
2021-01-21,4940,416,63
2021-01-22,4716,429,79
2021-01-23,3462,323,78
2021-01-24,2930,335,68
2021-01-25,5816,407,65
2021-01-26,4865,366,79
2021-01-27,5007,425,90
2021-01-28,4794,392,86
2021-01-29,3671,408,88
2021-01-30,2877,269,79
2021-01-31,2894,306,73
2021-02-01,980,287,64
2021-02-02,2659,400,77
2021-02-03,5145,437,76
2021-02-04,4851,428,90
2021-02-05,4158,438,81
2021-02-06,3080,357,77
2021-02-07,1645,310,78
2021-02-08,4431,389,81
2021-02-09,3735,395,71
2021-02-10,3778,356,78
2021-02-11,3415,318,96
2021-02-12,3315,344,81
2021-02-13,2209,278,82
2021-02-14,1895,242,80
2021-02-15,2862,319,82
2021-02-16,3724,351,85
2021-02-17,3437,291,80
2021-02-18,2049,260,54
2021-02-19,3018,302,57
2021-02-20,2494,294,69
2021-02-21,2286,269,59
2021-02-22,3626,348,74
2021-02-23,3472,327,73
2021-02-24,3464,352,79
